,,,,,,,,,km2,km2,,%,%,%,%,yr,,ug/L,,,m,,ug L-1,mg/L,g C m2 yr,%,load,,retention,g/m2/yr,,,,,,,,,g/m2/yr,,,,%,,,,,,,,,,,,,,,,,,
Oliver_notes,status,Site,Primary_reference,Type,Location,latitude,longitude,Sub_location,Watershed_area,Lake_area,period,propNO3retention,propNH4retention,propDINretention,propTONretention,restime_y,logR,TP_ugL,LogTP,Status,zbar_m,h_myr1,Chla_ugL,DOC_mgL,Pprates_gCm2yr,PercTN_retention,Nload_gm2y,logNload,Nretention_gm2y,denitrifcation,p_mass_units,p_conc_units,tp_in_mass,tp_in_conc,tp_out_mass,tp_out_conc,PercP_retention,RpminusRn,inorganicload,organicload,inorganicremoval,organicremoval,PercOrganicLoad,PercInorganicLoad,Notes,,,,,,,,,,,,,,,,
,1,Haugestadvatn,Berge et al. 1997,lake,Norway,59.526077,10.117261,,129.4,0.7,92-94,,,,,0.010958904,-1.960232873,35.00,1.54,E,1.4,127.75,30,,,0.040000305,243.7195714,2.386890406,9.748857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Hefreistevatn,Berge et al. 1997,lake,Norway,58.680525,6.169365,,233,2.8,92-94,,,,,0.156164384,-0.806418009,3.00,0.48,O,34.3,219.6403509,1.3,,,-0.005504115,67.99458333,1.832474317,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Orsdalsvatn,Berge et al. 1997,lake,Norway,58.629895,6.232751,,242.8,12.3,92-94,,,,,2.567123288,0.409446726,2.00,0.30,O,138,53.75667022,,,,0.061088849,15.55373713,1.191834755,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Ortrasket,Jonsson and Jansson 1997,lake,Sweden,64.647923,17.919968,,2170,7.3,1991-1992,-0.66,0.48,,0.07,0.273972603,-0.562292864,20.00,1.30,,23,83.95,,10.3,,0.04,27.40,1.44,1.095890411,,,,,,,,,,2.60,24.79452055,,1.735616438,0.91,0.10,,,,,,,,,,,,,,,,,
not sure where P retention estimate comes from,1,Grosser Muggelsee,Dudel and Kohl 1992,lake,Germany,52.437132,13.648261,,7000,7.3,1978 to 1990,,,,,0.16,-0.795880017,169.00,2.23,E,4.85,30.3125,37.8,,290,0.169,99.00,1.995635195,16.731,,,,,,,,0.035,-0.134,,,,,,,"fixation is about 0.365g m-2 yr, DUDELG, ., and J.-G. KOHL,1 991: N,-fixation and denitrification in the N budget of a shallow lake",,,,,,,,,,,,,,,,
,1,Lough Neagh,Gibson et al 1992 (N) Gibson et al. 1988 (P),lake,Ireland,54.592048,-6.440811,,4453,387,1975 to 1987,0.76,0.824,0.767,-0.089,1.24,0.093421685,125.00,2.10,E,8.9,7.177419355,49,,,0.52,23.90,1.378397901,12.428,,t y,,489,,321,,0.35,-0.17,17.2,6.7,13.2,-0.6,0.28,0.72,,,,,,,,,,,,,,,,,
,0,Dart's,Kelly et al. 1987,,United States,,,Adirondaks,,,1982 to 84,0.07,,,,0.06,-1.22184875,,,,7.1,118.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Lower Lakes,Cook et al. 2010,Reservior,Australia,,,,1062000,650,17yr,0.92,,,-0.057,0.298630137,-0.524866367,223.00,2.35,E,2.86,9.57706422,,,,,10.08,1.003460532,20,,,,,,,,,,,8.771270718,,,0.870165746,,,,,,,,,,,,,,,,,,
,0,Norrviken,Ahlgren et al. 1994,,Sweden,,,central Sweden,99.5,2.7,1992-1993,0.438,0.162,0.365,0.084,0.94,-0.026872146,90.00,1.95,E,5.4,5.744680851,,,,0.195,9.63,0.983536082,1.87746,,,,,,,,-0.166,,3.157,4.99,1.153,0.143,0.37,0.03,,,,,,,,,,,,,,,,,
,0,Vallentuna,Ahlgren et al. 1994,,Sweden,,,central Sweden,44.2,6.1,1992-1993,0.863,0.8075,0.84,-0.55,1.99,0.298853076,100.00,2.00,E,2.5,1.256281407,,,,0.45,2.62,0.418301291,1.179,,,,,,,,0.07,-0.38,1.88,0.7336,1.5792,-0.40348,0.28,0.72,,,,,,,,,,,,,,,,,
