"Data from Brooks, J. R., et al. (2014). ""Stable Isotope estimates of lake water evaporation:inflow and residence time for lakes across the United States as a tool for national lake water quality assessments."" Limnology and Oceanography 59(6): 2150-2165.",,,,,,,,,,,
SITE_ID,VISIT_NO,DATE_COL,E_I,RT,LON_DD,LAT_DD,LAKEAREA (km2),DEPTHMAX (m),Lake_Vol (m3),ELEV_PT (m),BASINAREA_KM2
NLA06608-0111,1,8/1/2007,0.073,0.32,-81.13692241,41.13540548,10.64647066,12.8,29435178,286.66,206.21
NLA06608-0112,1,7/9/2007,0.064,0.17,-89.14408234,39.01266111,2.763794065,9,5287479.531,160.22,65.29
NLA06608-0113,1,7/16/2007,0,0.15,-72.23412171,44.71864202,0.833522645,13.1,4247277.254,396.91,21.99
NLA06608-0115,1,7/18/2007,0.015,2.84,-89.19099056,44.32355428,0.067371558,17,415879.5961,271.25,0.19
NLA06608-0116,1,6/28/2007,0.116,1.09,-106.3013899,35.66653924,4.062048459,25.8,26189246.83,1625.22,28584.75
NLA06608-0120,1,6/18/2007,0.052,0.3,-96.36834536,36.16292985,102.5157227,20.6,504047779,220.49,186248.90
NLA06608-0124,1,7/19/2007,0.904,0.52,-101.8094915,42.14001905,0.305325653,1.1,106568.4196,1140.27,2.52
NLA06608-0126,1,6/21/2007,0.602,0.95,-99.32424356,47.19305824,0.115350092,2.5,103365.6422,569.53,1.16
NLA06608-0127,1,7/11/2007,0.507,1.55,-109.3063643,34.15364617,0.358599305,5.2,594179.1902,2106.3,22.69
NLA06608-0128,1,6/21/2007,0.114,0.1,-109.2416928,48.75289143,0.123779984,2.2,62613.09015,787.37,43.84
NLA06608-0129,1,7/21/2007,0.297,12.82,-114.5994561,48.21240982,11.38974069,60.3,238291225,1203,86.04
NLA06608-0130,1,8/13/2007,0.15,0.43,-111.0870104,31.40138437,0.204717688,9.7,503629.4831,1168.89,6.30
NLA06608-0132,1,8/28/2007,0.247,0.84,-109.0936327,36.20871918,0.88380695,6,1686164.97,2222,7.02
NLA06608-0134,1,7/24/2007,0.18,2.35,-73.04056323,41.88000298,0.999845728,19.8,7575929.754,285.96,2.96
NLA06608-0137,1,9/17/2007,0.011,0.33,-119.3636363,38.14855815,1.160372371,34.2,11072853.94,2163.46,78.05
NLA06608-0139,1,7/11/2007,0.064,0.22,-85.93794192,41.17205162,0.946879691,7.9,2084787.623,251.92,84.21
NLA06608-0140,1,6/20/2007,0.305,0.2,-95.45270584,39.639176,0.268643939,1.7,134800.5991,321.71,24.15
NLA06608-0141,1,8/23/2007,0.085,0.05,-75.68870871,39.41622694,0.654747939,1.6,300085.3313,0,24.38
NLA06608-0142,1,8/13/2007,0.26,2.49,-89.54369029,45.99791162,1.308236981,16.8,6385316.879,497.98,68.56
NLA06608-0144,1,8/2/2007,0.286,1.05,-99.39138265,33.39525121,7.061356995,12,25029478.58,405.7,623.47
NLA06608-0148,1,7/26/2007,0.095,0.23,-86.1080157,39.34860511,0.28966523,7.3,485497.9419,236.08,6.82
NLA06608-0149,1,7/18/2007,0.178,1.11,-76.84081042,41.63340269,0.139443979,10.4,489396.7922,451.56,1.62
NLA06608-0150,1,8/2/2007,0.04,0.36,-69.2311707,44.84955975,18.87921908,18,91922602.29,60.78,481.08
