state,name,county,storet_code,source
ILLINOIS,LAKE SPRINGFIELD,SANGAHON,1742,475
ILLINOIS,LAKE STOREY,KNOX,1751,475
ILLINOIS,LAKE VANDALIA,FAYETTE,1764,475
ILLINOIS,LAKE VERMILION,VERMILION,1748,475
ILLINOIS,LAKE WEE-MA-TUK,FULTON,1761,475
ILLINOIS,WONDER LAKE,HCHENRY,1750,475
INDIANA,BASS LAKE,STARKE,1851,475
INDIANA,CATARACT LAKE,"OWEN, PUTNAM",1805,475
INDIANA,CROOKED LAKE,STEUBEN,1852,475
INDIANA,DALLAS LAKE,LAGRANGE,1845,475
INDIANA,GEIST RESERVOIR,"HAMILTON, MARION",1811,475
INDIANA,HAMILTON LAKE,STEUBEN,1857,475
INDIANA,HOVEY LAKE,POSEY,1849,475
INDIANA,JAMES LAKE,KOSCIUSKO,1817,475
INDIANA,JAMES LAKE,STEUBEN,1853,475
INDIANA,LONG LAKE,STEUBEN,1854,475
INDIANA,MARSH LAKE,STEUBEN,1856,475
INDIANA,LAKE MAXINKUCKEE,MARSHALL,1843,475
INDIANA,MISSISSINEWA RESERVOIR,"GRANT, MIAMI, WABASH",1827,475
INDIANA,MONROE RESERVOIR,BRORN MONROE,1828,475
INDIANA,MORSE RESERVOIR,HAMILTON,1829,475
INDIANA,OLIN LAKE,LAGRANGE,1846,475
INDIANA,OLIVER LAKE,LAGRANGE,1847,475
INDIANA,PIGEON LAME,STEUBEN,1855,475
INDIANA,SYLYAN LAKE,NOBLE,1848,475
INDIANA,LAKE TIPPECANOE,KOSCIUSKO,1844,475
INDIANA,VERSAILLES LAKE,RIPLEY,1850,475
INDIANA,WAWASEE LAKE,KOSCIUSKO,1836,475
INDIANA,WEBSTER LAKE,KOSCIUSKO,1837,475
INDIANA,WESTLER LAKE,LAGRANGE,1841,475
INDIANA,WHITEWATER LAKE,UNION,1839,475
INDIANA,WINONA LAKE,KOSCIUSKO,1840,475
INDIANA,WITMER LAKE,LAGRANGE,1842,475
KENTUCKY,BARREN RIVER RESERVOIR,ALLEN BARREN,2105,475
KENTUCKY,CUMBERLAND LAKE,NA,2101,475
KENTUCKY,DALE HOLLOW RESERVOIR,CLINTON CUMBERLAND KY CLAY OVERTON PICKETT TN,2102,475
KENTUCKY,HERRINGTON LAKE,DOYLE GARRARD MERCER,2103,475
KENTUCKY,KENTUCKY LAKE,CALLOMAY TRIGG ET AL KY1 HARDIN DECATUR ET AL TN,2104,475
MARYLAND,DEEP CREEK LAKE,GARRETT,2402,475
MARYLAND,JOHNSON POND,WICOMICO,2409,475
MARYLAND,LIBERTY RESERVOIR,"CARROLL, BALTIMORE",2403,475
MARYLAND,LOCH RAVEN RESERVOIR,BALTIMORE,2408,475
MISSISSIPPI,ARKABUTLA RESERVOIR,DESOTO TATE,2801,475
MISSISSIPPI,ENID LAKE,YALOBUSHA,2802,475
MISSISSIPPI,GRENADA LAKE,CALMOUN GRENADA YALODUSMA,2806,475
