Source,lake,type,state_country,drainage_area_km2,surface_area_km2,mean_depth_m,Inflow_rate_Q_m3s-1,retention_time_years,TP_lake,TN_lake,N_P_assay,N_P_limitation,TP_load_kgyr-1,TN_load_kgyr-1,TP_out_kgyr-1,TN_out_kgyr-1,Rp,Rn,Notes
EPA 477,Navajo Reservoir,impoundment,Colorado,8443.4,63.3,33.3,49.5,1.400,0.036,0.365,,co and N,158090,1776990,27970,1403140,0.82,0.21,
EPA 477,American Falls Reservoir,impoundment,Idaho,35224.0,277.0,9.2,182.1,0.299,0.105,0.575,co and N,N,610015,8178700,577365,12267495,0.05,-0.50,
EPA 477,Cascade Reservoir,impoundment,Idaho,1621.3,107.2,8.1,27.3,0.921,0.032,0.320,N and co,N,40545,521675,25985,829205,0.36,-0.59,
EPA 477,Coeur D'Alene Lake,natural ,Idaho,9945.6,129.5,2.3,179.4,19.000,0.017,0.220,,"co, N and P",179815,3396730,109525,4354550,0.39,-0.28,
EPA 477,Dworshak Reservoir,impoundment,Idaho,6319.6,76.9,55.5,196.8,0.836,0.010,0.260,co,N,115315,3247950,84025,1892860,0.27,0.42,
EPA 477,Island Park Reservoir,impoundment,Idaho,1245.8,31.5,5.0,13.6,0.299,0.034,0.320,N,N,10005,143795,22550,459510,-1.25,-2.20,
EPA 477,Lake Lowell,impoundment,Idaho,,39.8,5.9,10.2,0.718,0.070,0.690,N and co,N,32100,282500,18195,304500,0.43,-0.08,
EPA 477,Magin Reservoir,impoundment,Idaho,4144.0,15.8,15.0,15.4,0.479,0.062,0.420,co and N,N,40750,408995,16845,359260,0.59,0.12,
EPA 477,Palisades Reservoir,impoundment,Idaho,13571.6,61.3,28.2,181.1,0.296,0.024,0.270,co and N,co,383245,3590730,126270,2920000,0.67,0.19,
EPA 477,Payette Lake,natural ,Idaho,373.0,21.6,5.7,1058.0,0.384,0.013,0.240,co and P,N,4095,198045,4030,118875,0.02,0.40,
EPA 477,Lower Twin Lakes,impoundment,Idaho,133.4,16.4,2.3,2.1,1.800,0.016,0.320,N and co,N and co,1910,51645,235,7610,0.88,0.85,same as upper twin
EPA 477,Upper Twin Lakes,impoundment,Idaho,133.4,16.4,2.3,2.1,1.800,0.017,0.420,N and co,N and P,1910,51645,235,7610,0.88,0.85,same as lower twin
EPA 477,Canyon Ferry Reservoir,impoundment,Montana,41191.3,142.5,17.4,155.5,0.510,0.047,0.440,N,N and co,329310,4186900,183030,3857500,0.44,0.08,
EPA 477,Clark Canyon Reservoir,impoundment,Montana,6011.4,20.0,15.8,10.2,1.000,0.049,0.550,,N,19940,404990,11775,311590,0.41,0.23,
EPA 477,Flathead Lake,natural ,Montana,18854.2,475.6,13.5,331.7,0.616,0.008,0.230,,"N, co and P",173455,6433370,114370,5510465,0.34,0.14,
EPA 477,Georgetown Lake,impoundment,Montana,137.3,11.2,3.4,1.3,0.937,0.022,0.420,N and co,,780,36095,1230,37545,-0.58,-0.04,
EPA 477,Hebgen Lake,impoundment,Montana,2408.7,51.3,8.2,28.9,0.471,0.022,0.220,N,N,24175,663000,20550,691505,0.15,-0.04,
EPA 477,Koocanusa Reservoir,impoundment,Montana,23270.1,188.2,38.4,308.6,0.742,0.045,0.300,N,N,26590,415970,228840,2725205,-7.61,-5.55,
EPA 477,Mary Ronan Lake,natural ,Montana,76.8,6.2,8.5,0.1,17.400,0.020,0.520,,N,1120,17375,490,8520,0.56,0.51,
EPA 477,Lake McDonald,natural ,Montana,443.9,32.6,45.7,15.0,3.200,0.006,0.370,P,,9500,440075,5035,364395,0.47,0.17,
EPA 477,Nelson Reservoir,impoundment,Montana,,18.5,5.7,2.3,1.800,0.029,0.555,,N and co,7635,155430,1340,81395,0.82,0.48,
EPA 477,Seeley Lake,natural ,Montana,378.4,3.5,18.3,5.9,0.348,0.015,0.225,,N and co,3380,76065,2105,115975,0.38,-0.52,
EPA 477,Swan Lake,natural ,Montana,1737.9,10.9,21.9,24.3,0.233,0.010,0.230,,N and P,16965,770190,9885,894800,0.42,-0.16,
EPA 477,Tally Lake,natural ,Montana,527.1,5.4,68.9,4.3,2.800,0.011,0.240,,N and P,2730,184610,2035,170390,0.25,0.08,
EPA 477,Tiber Reservoir,impoundment,Montana,12760.9,50.6,15.3,28.2,0.871,0.018,0.430,co,P,32125,1749110,13855,740560,0.57,0.58,
EPA 477,Tongue River Reservoir,impoundment,Montana,4584.3,14.2,6.1,14.2,0.205,0.051,0.620,,N and co,133530,660405,16490,618385,0.88,0.06,
EPA 477,Whitefish Lake,natural ,Montana,325.8,13.6,32.9,5.6,2.500,0.008,0.220,,N and P,5855,159360,2580,87710,0.56,0.45,
EPA 477,Lahontan Rservoir,impoundment,Nevada,9375.8,19.7,6.7,17.0,0.249,0.198,,N,N,187625,854410,97485,749840,0.48,0.12,
EPA 477,Lake Mead,impoundment,Nevada,434601.8,592.9,59.1,377.3,3.500,0.016,0.550,P,P,3692835,26880405,247325,11996385,0.93,0.55,
EPA 477,Rye Patch Reservoir,impoundment,Nevada,41699.0,46.1,4.6,7.2,1.200,0.095,0.620,N,N,54495,291585,27770,201970,0.49,0.31,"1 of 2 streams not included, but called a div. canal"
EPA 477,Lake Tahoe,natural ,Nevada,1307.9,501.8,307.0,17.9,477.000,0.005,0.220,N and P,N,20675,831030,3440,76385,0.83,0.91,
EPA 477,Topaz Lake,natural ,Nevada,1080.0,9.7,15.8,6.8,0.723,0.058,0.440,N,N,13180,125870,6195,195470,0.53,-0.55,
EPA 477,Upper Pahranagat,impoundment,Nevada,6845.4,1.0,0.6,0.3,0.156,0.173,0.800,N,N,1265,11295,360,5525,0.72,0.51,
EPA 477,Washoe Lake,natural ,Nevada,215.0,16.6,1.5,0.9,5.700,0.403,1.340,N,N,1735,34770,1770,8875,-0.02,0.74,
EPA 477,Wild Horse Reservoir,impoundment,Nevada,541.3,12.1,7.3,1.2,2.400,0.114,0.920,N,N,7985,133465,10415,61640,-0.30,0.54,
EPA 477,Wilson Reservoir,impoundment,Nevada,240.9,3.4,3.9,0.3,5.100,0.049,0.520,N,N,700,10520,700,15490,0.00,-0.47,
EPA 477,Alamogordo Reservoir,impoundment,New Mexico,11370.1,18.5,8.1,2.8,1.700,0.025,0.320,N and P,P,28060,117605,3580,68495,0.87,0.42,
EPA 477,Bluewater Lake,impoundment,New Mexico,520.6,7.1,6.7,0.3,5.800,0.036,0.700,N and P,N,590,14665,475,9350,0.19,0.36,
EPA 477,Conchas Reservoir,impoundment,New Mexico,19189.3,38.8,11.8,4.8,3.000,0.020,0.350,N and P,N,11450,181410,690,624795,0.94,-2.44,
EPA 477,Eagle Nest Lake,impoundment,New Mexico,432.5,9.8,9.9,0.6,5.300,0.181,0.520,N,N,2630,42275,3120,32270,-0.19,0.24,
EPA 477,Elephant utte Reservoir,impoundment,New Mexico,76275.4,148.1,18.3,38.3,2.200,0.083,0.440,N,N,2569270,7244725,83595,1141900,0.97,0.84,
EPA 477,El Vado Reservoir,impoundment,New Mexico,2012.4,13.1,18.3,8.5,0.893,0.034,0.420,co,N,34920,254990,16285,269615,0.53,-0.06,
EPA 477,Lake McMillan,impoundment,New Mexico,44004.1,23.1,2.1,7.0,0.222,0.097,0.470,co and N,N,24235,470930,16860,641260,0.30,-0.36,
EPA 477,Ute Reservoir,impoundment,New Mexico,28852.6,16.8,8.0,3.0,1.400,0.021,0.420,N and co,N,11225,61230,1095,184455,0.90,-2.01,
EPA 477,Brownlee Reservoir,impoundment,Oregon,188033.9,56.7,31.6,535.6,0.107,0.079,0.910,,co and N,1946835,632065346,1023210,18218785,0.47,0.97,
EPA 477,Hells Canyon,impoundment,Oregon,189846.9,10.1,20.4,554.0,0.011,0.068,0.830,,P and N,942285,25888790,1017465,21630255,-0.08,0.16,
EPA 477,Hills Creek Reservoir,impoundment,Oregon,1007.5,11.1,39.2,33.0,0.416,0.038,0.230,,N,40540,201365,36130,256375,0.11,-0.27,
EPA 477,Lake Owyhee,impoundment,Oregon,28904.4,56.3,24.6,27.2,1.700,0.095,0.780,N,N,99585,1099800,101020,1017855,-0.01,0.07,
EPA 477,Oxbow Reservoir,impoundment,Oregon,188810.9,5.7,11.4,532.7,0.003,0.071,0.910,,P and N,1038645,18480225,895060,25222530,0.14,-0.36,
EPA 477,Suttle Lake,natural ,Oregon,57.5,1.1,9.9,1.4,0.238,0.031,0.220,N,N,1855,19165,1355,29455,0.27,-0.54,
EPA 477,Bear Lake ,natural ,Utah,1030.8,171.6,10.2,2.5,21.900,0.011,0.220,,N and co,14740,471020,4925,124190,0.67,0.74,"one stream input not included, called pumped return flow"
EPA 477,Deer Creek Reservoir,impoundment,Utah,1450.4,9.7,19.9,10.7,0.578,0.038,0.585,P,co,23850,311355,15605,242720,0.35,0.22,2 of 5 streams estimated
EPA 477,Echo Reservoir,impoundment,Utah,1895.9,6.0,15.3,7.7,0.367,0.047,0.460,,N and co,14900,316615,10165,178965,0.32,0.43,
EPA 477,Fish Lake,natural ,Utah,57.0,10.1,25.9,0.1,58.500,0.023,0.420,,N,495,14945,210,3925,0.58,0.74,
EPA 477,Joe's Valley Reservoir,impoundment,Utah,378.1,4.7,16.3,2.8,0.866,0.012,0.420,N and P,P,3335,82995,2310,87240,0.31,-0.05,
EPA 477,Minersville Reservoir,impoundment,Utah,1320.9,4.0,5.6,1.0,0.729,0.192,1.070,N,N,5815,41990,4450,36375,0.23,0.13,
EPA 477,Moon Lake,natural ,Utah,290.1,3.1,14.1,3.8,0.384,0.008,0.320,P,,1630,145445,1610,65495,0.01,0.55,
EPA 477,Otter Creek Reservoir,impoundment,Utah,984.2,10.2,6.3,1.6,1.400,0.067,0.420,N,N,6415,91475,4305,54970,0.33,0.40,
EPA 477,Panguitch Lake,natural ,Utah,121.7,5.0,6.4,0.7,2.200,0.071,1.020,N,,1815,25855,1350,22895,0.26,0.11,
EPA 477,Pelican Lake,natural ,Utah,25.9,6.9,3.0,0.1,36.800,0.044,0.920,N and P,P,915,13820,45,700,0.95,0.95,
EPA 477,Pineview Reservoir,impoundment,Utah,802.9,10.1,13.4,6.3,0.679,0.028,0.740,P,P,7240,215165,7775,189145,-0.07,0.12,
EPA 477,Piute Reservoir,impoundment,Utah,6319.6,10.2,10.1,4.9,0.655,0.047,0.680,P and N,P,20655,273815,10855,204370,0.47,0.25,
EPA 477,Sevier Bridge Reservoir,impoundment,Utah,13260.8,44.5,6.5,5.9,1.600,0.026,1.010,P,P,33420,742145,4035,258715,0.88,0.65,
EPA 477,Starvation Reservoir,impoundment,Utah,2745.4,11.2,19.9,5.8,1.800,0.016,0.320,,N,30175,380310,2770,87865,0.91,0.77,
EPA 477,Steinaker Reservoir,impoundment,Utah,54.4,3.3,14.0,0.8,2.000,0.011,0.220,,n and P,365,18235,460,18165,-0.26,0.00,2 of 4 streams estimated
EPA 477,Tropic Reservoir,impoundment,Utah,217.6,0.7,3.0,0.5,0.153,0.021,0.420,P and N,N,295,8940,260,10810,0.12,-0.21,1 of 3 streams estimated
EPA 477,Utah Lake,natural ,Utah,6876.4,396.6,2.1,17.2,2.500,0.132,1.160,co,N,201895,2317565,139995,817185,0.31,0.65,5 of 18 streams estimated
EPA 477,Willard Reservoir,impoundment,Utah,62.2,40.5,5.9,2.6,3.300,0.044,0.620,,N,8360,211770,7380,124710,0.12,0.41,
EPA 477,Lake Chelan,natural ,Washington,2393.0,133.9,,61.9,,0.005,0.250,P,N,34695,1327255,24225,303320,0.30,0.77,
EPA 477,Keechelus Lake,impoundment,Washington,141.7,10.4,18.7,10.2,0.603,0.007,0.220,co and P,P,4525,95980,1685,40835,0.63,0.57,
EPA 477,Mayfield Lake,impoundment,Washington,3626.0,8.9,17.6,188.4,0.025,0.014,0.280,co and P,N,101080,1594930,102690,1548220,-0.02,0.03,
EPA 477,Moses Lake,impoundment,Washington,7990.1,27.6,5.9,4.6,0.792,0.115,1.040,co and N,N,31145,357915,17230,206055,0.45,0.42,
EPA 477,Sammamish Lake,natural ,Washington,253.0,19.8,17.7,6.4,1.800,0.015,0.540,P,P,6130,340175,4450,129275,0.27,0.62,
EPA 477,Lake Whatcom,natural ,Washington,145.3,20.3,1.8,4.8,0.260,0.009,0.510,P,P,2590,167385,1480,89620,0.43,0.46,
EPA 477,Big Sandy Reservoir,impoundment,Wyoming,1139.6,8.3,5.8,2.5,0.748,0.087,0.430,,N,9980,133855,8485,99505,0.15,0.26,
EPA 477,Boulder Lake,natural ,Wyoming,336.7,7.0,12.2,5.7,0.496,0.008,0.235,,N and P,4805,137120,3105,176470,0.35,-0.29,
EPA 477,Boysen Reservoir,impoundment,Wyoming,19945.6,89.8,10.4,45.7,0.740,0.037,0.340,,co and N,320020,2638495,30360,1277070,0.91,0.52,
EPA 477,Lake de Smet,impoundment,Wyoming,25.9,10.7,12.8,0.2,,0.033,0.620,,N,775,18290,1030,11835,-0.33,0.35,
EPA 477,Flaming Gorge Reservoir,impoundment,Wyoming,39109.0,137.7,33.9,66.2,2.300,0.014,0.900,co,P,186240,2826435,24365,2883495,0.87,-0.02,1 of 8 streams estimated
EPA 477,Fremont Lake,natural ,Wyoming,295.3,20.2,24.4,6.3,2.500,0.006,0.220,,P,2360,224635,1870,28185,0.21,0.87,
EPA 477,Glendo Reservoir,impoundment,Wyoming,50523.1,54.0,18.3,47.1,0.723,0.045,0.695,P,P,174955,2252665,49205,1742630,0.72,0.23,
EPA 477,Keyhole Reservoir,impoundment,Wyoming,5180.0,38.0,6.5,0.8,15.200,0.028,0.620,,N and P,17600,114395,210,16840,0.99,0.85,
EPA 477,Ocean Lake,natural ,Wyoming,,24.7,4.2,1.2,4.400,0.043,0.820,,N and P,6535,92275,710,34438,0.89,0.63,
EPA 477,Seminoe Reservoir,impoundment,Wyoming,28979.5,48.8,25.6,43.3,0.937,0.030,0.480,co,co,141700,1688450,39285,1634305,0.72,0.03,
EPA 477,Viva Naughton Reservoir,impoundment,Wyoming,624.2,5.9,8.9,3.9,0.466,0.065,0.440,,N,3950,126285,5290,19115,-0.34,0.85,
EPA 477,Woodruff Narrows Reservoir,impoundment,Wyoming,2030.6,7.1,4.9,7.1,0.159,0.069,0.620,,N,42655,523155,17420,215255,0.59,0.59,
EPA 477,Yellowtail Reservoir,impoundment,Wyoming,50937.5,51.3,26.8,106.2,0.433,0.026,0.500,P,co,1048225,5347435,66965,5064620,0.94,0.05,
EPA 474,Aspinook,impoundment,Connecticut,1851.9,1.4,2.7,35.5,0.003,0.092,,N,N,135088,1760237,125927,1610394,0.07,0.09,
EPA 474,Bantam Lake,natural ,Connecticut,86.0,3.7,4.4,1.7,0.307,0.044,,N,N,2322,45098,2431,47927,-0.05,-0.06,
EPA 474,Eagleville Lake,impoundment,Connecticut,287.5,0.3,0.9,5.3,0.002,0.094,,N and P,N,17515,250952,13819,257710,0.21,-0.03,
EPA 474,Hanover Pond,impoundment,Connecticut,246.3,0.3,1.4,4.8,0.002,0.298,,N,N,56549,353043,56440,380676,0.00,-0.08,
EPA 474,Lake Zoar,impoundment,Connecticut,3991.2,4.0,7.5,70.2,0.014,0.043,,P,P,154771,2761619,116562,2556381,0.25,0.07,
EPA 474,Lake Lillinonah,impoundment,Connecticut,3605.3,7.7,11.9,62.7,0.047,0.054,,P,P,223569,3001118,133406,2512589,0.40,0.16,
EPA 474,Lake Housatonic,impoundment,Connecticut,4076.7,1.3,2.9,71.8,0.002,0.039,,P,P,118236,2607147,99506,2459537,0.16,0.06,
EPA 474,Estes Lake,impoundment,Maine,272.0,1.6,3.0,5.0,0.030,0.094,,N,N,15111,172803,14254,193388,0.06,-0.12,
EPA 474,Long Lake,natural ,Maine,295.3,19.7,10.4,5.5,1.200,0.008,,P,P,2757,94834,1388,78757,0.50,0.17,
EPA 474,Mattawamkeag Lake,natural ,Maine,813.3,13.5,3.7,13.7,0.115,0.011,,P and N,P,7937,304413,5619,230839,0.29,0.24,
EPA 474,Moosehead Lake,natural ,Maine,3280.0,303.1,16.5,52.9,3.000,0.005,,P,P,24612,1222162,13342,916562,0.46,0.25,
EPA 474,Rangeley Lake,natural ,Maine,256.4,24.3,14.3,3.9,2.800,0.007,,P,P,2168,96653,1102,52834,0.49,0.45,
EPA 474,Sebago Lake,natural ,Maine,1142.2,116.4,30.8,20.9,5.400,0.004,,P,P,9261,547855,3959,482168,0.57,0.12,
EPA 474,Sebasticook Lake,natural ,Maine,326.3,17.4,5.8,6.0,0.548,0.050,,N,N,11810,293197,8358,82141,0.29,0.72,
EPA 474,Long (Aroostook) Lake,natural ,Maine,234.1,24.3,13.4,3.2,3.200,0.010,,P,P,2993,178744,1311,70358,0.56,0.61,
EPA 474,Bay of Naples,natural ,Maine,308.2,3.1,4.3,5.8,0.071,0.005,,P,P,1574,89995,1279,121710,0.19,-0.35,
EPA 474,Hager Pond,natural ,Massachusetts,4.4,0.1,1.5,0.1,0.066,1.525,,P,P,13098,58050,3510,26771,0.73,0.54,
EPA 474,Harris Pond,impoundment,Massachusetts,85.7,0.4,2.4,1.6,0.017,0.052,,P,N,3859,43810,2522,42376,0.35,0.03,
EPA 474,Maynard Impoundment,impoundment,Massachusetts,292.7,0.3,1.2,4.9,0.003,0.417,,N,N,32023,302512,34354,330463,-0.07,-0.09,
EPA 474,Woods Pond,impoundment,Massachusetts,445.5,0.5,1.2,8.8,0.003,0.363,,N,N,131789,680127,100571,939887,0.24,-0.38,
EPA 474,Matfield Impoundment,impoundment,Massachusetts,356.9,0.2,0.9,6.8,0.001,0.535,,N,N,125746,850472,82259,875880,0.35,-0.03,
EPA 474,Rochdale Pond,impoundment,Massachusetts,49.0,0.2,1.8,0.8,0.012,0.063,,N,N,1256,30916,1569,25374,-0.25,0.18,
EPA 474,Billerica Impoundment,impoundment,Massachusetts,714.8,0.1,2.1,15.3,0.001,0.181,,N,N,72413,963927,71107,1058984,0.02,-0.10,
EPA 474,Northboro Impoundment,impoundment,Massachusetts,91.7,0.1,1.2,1.5,0.001,0.275,,,N,24390,114309,24313,123098,0.00,-0.08,
EPA 474,Hudson Impoundment,impoundment,Massachusetts,188.3,0.1,1.2,3.1,0.001,0.476,,N,N,30172,194467,23583,218975,0.22,-0.13,
EPA 474,Lake Allegan,impoundment,Michigan,3991.2,6.4,3.4,35.7,0.019,0.135,,,N and P,201510,2588655,154177,3120462,0.23,-0.21,
EPA 474,Barton Lake,natural ,Michigan,129.2,1.4,6.1,1.2,0.222,0.061,,P,P,3011,47864,2984,70925,0.01,-0.48,
EPA 474,Belleville Lake,impoundment,Michigan,2157.5,5.1,6.1,14.4,0.068,0.122,,,N and P,80925,1120167,60807,1236322,0.25,-0.10,
EPA 474,Lake Charlevoix,natural ,Michigan,854.7,69.9,16.8,11.5,3.200,0.006,,P,P,8580,658825,3138,344363,0.63,0.48,
EPA 474,Lake Chemung,natural ,Michigan,14.0,1.3,8.5,0.1,4.200,0.032,,N,P,272,11732,100,3610,0.63,0.69,
EPA 474,Ford Lake,impoundment,Michigan,2108.3,4.3,4.4,14.1,0.041,0.111,,,N and P,68685,1117392,55683,983030,0.19,0.12,
EPA 474,Fremont Lake,natural ,Michigan,52.6,3.2,10.1,0.5,1.900,0.378,,N,N,9497,52512,5020,38154,0.47,0.27,
EPA 474,Jordan Lake,natural ,Michigan,66.8,1.7,7.3,0.5,0.833,0.171,,P,N,1991,50948,1660,40082,0.17,0.21,
EPA 474,Kent Lake,natural ,Michigan,383.3,4.1,2.0,2.8,0.090,0.043,,N and P,N,6422,90857,4925,97887,0.23,-0.08,
EPA 474,Macatawa Lake,natural ,Michigan,463.6,7.2,3.7,3.9,0.211,0.159,,P,P,45705,457746,12472,263977,0.73,0.42,
EPA 474,Muskegon Lake,natural ,Michigan,6822.1,16.8,7.0,60.7,0.063,0.065,,N,N,115152,1861682,113692,1788122,0.01,0.04,
EPA 474,Ross Reservoir,impoundment,Michigan,1261.3,1.2,1.5,10.1,0.005,0.035,,N and P,N,20249,435510,17333,401347,0.14,0.08,
EPA 474,Sanford Lake,impoundment,Michigan,2698.8,5.1,3.0,18.6,0.025,0.018,,N and P,N,19828,714939,20639,711583,-0.04,0.00,
EPA 474,Thornapple Lake,natural ,Michigan,932.4,1.7,4.3,7.4,0.030,0.045,,,N and P,15283,425152,12068,375660,0.21,0.12,
EPA 474,Union Lake,natural ,Michigan,1383.1,2.1,0.9,10.7,0.005,0.047,,,P,19687,650857,17642,643692,0.10,0.01,
EPA 474,White Lake,natural ,Michigan,1318.3,10.4,6.9,14.8,0.153,0.026,,N and P,N,20580,457728,15977,364050,0.22,0.20,
EPA 474,Mona Lake,natural ,Michigan,212.6,2.8,4.0,1.7,0.208,0.369,,N,N,27084,228739,177,6875,0.99,0.97,
EPA 474,Long Lake,natural ,Michigan,194.0,0.9,5.2,1.6,0.085,0.133,,N,N,3941,74145,3578,79370,0.09,-0.07,
EPA 474,Crystal Lake,natural ,Michigan,14.5,2.9,4.2,0.1,3.300,0.009,,P,P,204,8644,54,4907,0.74,0.43,
EPA 474,Higgins Lake,natural ,Michigan,127.4,38.9,14.9,1.2,15.600,0.006,,,N and P,1029,56744,308,26363,0.70,0.54,
EPA 474,Houghton Lake,natural ,Michigan,575.0,81.1,2.3,4.4,1.300,0.016,,N and P,P,4816,255229,2331,97433,0.52,0.62,
EPA 474,Thompson Lake,natural ,Michigan,30.8,1.1,2.7,0.2,0.416,0.041,,N and P,N,431,13596,526,9433,-0.22,0.31,
EPA 474,Strawberry Lake,natural ,Michigan,914.3,1.0,6.7,6.2,0.036,0.068,,N,N,9556,233864,7447,203932,0.22,0.13,
EPA 474,Lake Winona,natural ,Minnesota,7.5,0.8,1.3,0.0,1.500,0.107,,N,N,1283,5669,54,816,0.96,0.86,
EPA 474,Wolf Lake,natural ,Minnesota,1771.6,4.3,8.5,11.5,0.101,0.050,,N,N,27351,256635,23941,332599,0.12,-0.30,
EPA 474,Lake Pepin,impoundment,Minnesota,146593.9,101.2,5.1,659.5,0.025,0.185,,,N,3478770,47425840,3085138,50511360,0.11,-0.07,
EPA 474,Zumbro Lake,impoundment,Minnesota,2206.7,2.5,5.5,8.6,0.049,0.401,,,N and P,205673,1404002,114748,1327709,0.44,0.05,
EPA 474,Spring Lake,impoundment,Minnesota,96347.9,23.9,2.4,287.1,0.007,0.240,,N,N,2562606,30604880,2489161,34069808,0.03,-0.11,
EPA 474,Lake St. Croix,impoundment,Minnesota,19943.0,33.2,8.8,144.2,0.063,0.055,,,N and P,295347,5693044,199152,5623392,0.33,0.01,
EPA 474,Budd Lake,natural ,Minnesota,98.9,0.9,3.5,0.3,0.342,0.192,,,N,1528,36467,1392,30562,0.09,0.16,
EPA 474,Forest Lake,natural ,Minnesota,47.1,9.1,3.4,0.2,5.700,0.021,,N and P,P,1016,28227,3465,24744,-2.41,0.12,
EPA 474,Wagonga Lake,natural ,Minnesota,66.0,6.5,1.3,0.2,1.400,1.000,,,N,26145,104834,11197,34839,0.57,0.67,
EPA 474,Green Lake,natural ,Minnesota,357.4,21.9,6.4,1.2,3.700,0.015,,N and P,P,2036,85283,662,38912,0.67,0.54,
EPA 474,Nest Lake,natural ,Minnesota,318.6,3.8,4.6,1.1,0.521,0.040,,N,N,3034,62771,1329,52821,0.56,0.16,
EPA 474,Lake Darling,natural ,Minnesota,453.3,3.9,6.2,0.9,0.871,0.017,,,N and P,730,35288,526,32925,0.28,0.07,
EPA 474,Lake Le Homme Dieu,natural ,Minnesota,109.6,7.1,6.4,0.2,7.900,0.019,,N and P,P,780,21297,168,8100,0.78,0.62,
EPA 474,Lake Carlos,natural,Minnesota,606.1,10.2,13.1,1.1,3.700,0.346,,P,P,1406,67964,617,37764,0.56,0.44,
EPA 474,Lake Androsia,natural,Minnesota,1895.9,6.1,7.9,11.9,0.129,0.025,,,N and P,24549,361247,15546,319011,0.37,0.12,
EPA 474,Lake Bemidji,natural,Minnesota,1631.7,26.0,9.8,10.9,0.734,0.036,,N ,N,11474,347991,7388,260993,0.36,0.25,
EPA 474,Mud Lake ,natual,Minnesota,3.1,0.2,1.3,0.0,0.666,0.408,,N,,1125,3469,59,680,0.95,0.80,
EPA 474,Albert Lea Lake,natural,Minnesota,381.8,9.9,1.1,1.7,0.200,0.958,,,N,62590,607193,44562,384880,0.29,0.37,
EPA 474,Badger Lake,natural,Minnesota,88.6,1.4,1.2,0.2,0.296,0.022,,,N and P,907,15143,948,15098,-0.05,0.00,
EPA 474,Bartlett,natural,Minnesota,8.8,1.2,2.6,0.1,1.900,0.136,,,N and P,458,4163,195,3383,0.57,0.19,
EPA 474,Big Stone,natural,Minnesota,3004.4,51.0,3.4,3.3,1.700,0.159,,,N,15946,219447,15846,214068,0.01,0.02,
EPA 474,Blackduck Lake,natural,Minnesota,75.1,11.1,4.5,0.4,4.200,0.038,,N,N,1592,29351,717,16091,0.55,0.45,
EPA 474,Blackhoof Lake,natural,Minnesota,20.7,0.7,4.4,0.1,0.704,0.043,,N,P,902,8703,141,5075,0.84,0.42,
EPA 474,Buffalo Lake,natural,Minnesota,114.0,6.1,4.4,0.6,1.400,0.209,,N,N,5973,28939,3950,51429,0.34,-0.78,
EPA 474,Cass Lake,natural,Minnesota,2926.7,63.1,7.6,17.8,0.858,0.020,,,P and N,22227,552358,8118,450798,0.63,0.18,
EPA 474,Clearwater Lake,natural,Minnesota,450.7,12.9,5.2,1.5,1.400,0.028,,,N,8630,107161,2036,59188,0.76,0.45,
EPA 474,Cokato Lake,natural,Minnesota,116.6,2.2,7.6,0.5,1.132,0.231,,,N,5719,60236,3202,40304,0.44,0.33,
EPA 474,Elbow Lake,natural,Minnesota,16.3,0.7,3.1,0.1,0.811,1.380,,N,N,5447,20222,1828,6295,0.66,0.69,
EPA 474,Embarrass Lake,natural,Minnesota,389.5,2.1,2.6,2.8,0.060,0.025,,,N and P,3501,109487,3587,82195,-0.02,0.25,
EPA 474,Gull Lake,natural,Minnesota,766.6,38.6,9.1,3.8,2.900,0.022,,P and N,P,3669,141963,2290,87560,0.38,0.38,
EPA 474,Heron Lake,natural,Minnesota,1222.5,33.4,0.9,2.6,0.370,0.302,,,N,34617,554308,22426,341787,0.35,0.38,
EPA 474,Leech Lake,natural,Minnesota,2693.6,453.3,4.7,13.1,5.200,0.015,,P and N,P,17964,1076507,8222,525170,0.54,0.51,
EPA 474,Lily Lake,natural,Minnesota,112.9,0.6,0.9,0.3,0.055,0.607,,,N,3782,94000,5651,98943,-0.49,-0.05,
EPA 474,Madison Lake,natural,Minnesota,61.6,4.5,4.0,0.2,3.300,0.050,,N and P,N,1601,50277,385,19351,0.76,0.62,
EPA 474,Malmedal Lake,natural,Minnesota,21.5,0.8,1.8,0.0,1.300,0.125,,N and P,N,218,3850,544,3333,-1.50,0.13,
EPA 474,Mashkenode Lake,natural,Minnesota,45.6,0.4,2.1,0.2,0.110,0.075,,N,N,2200,16100,567,7066,0.74,0.56,
EPA 474,McQuade Lake,natural,Minnesota,64.2,0.7,2.7,0.4,0.156,0.040,,,N,794,24195,562,21206,0.29,0.12,
EPA 474,Lake Minnewaska,natural,Minnesota,227.9,28.8,6.0,0.4,12.700,0.035,,,N and P,4236,66345,426,14181,0.90,0.79,
EPA 474,Pelican Lake,natural,Minnesota,179.5,44.3,2.4,1.0,3.300,0.032,,,N and P,2517,86268,1347,34277,0.46,0.60,
EPA 474,St. Louis Bay,natural,Minnesota,9564.1,9.8,3.4,67.9,0.016,0.216,,N,N,318472,3497313,226553,3467383,0.29,0.01,
EPA 474,Silver Lake,natural,Minnesota,5.7,1.7,1.2,0.0,2.300,0.600,,N,N,907,6195,662,4240,0.27,0.32,
EPA 474,Six Mile Lake,natural,Minnesota,38.3,0.3,1.9,0.2,0.099,0.235,,,N,1728,13302,766,15256,0.56,-0.15,
