Name,Latitude,Longitude,State,Country,Year of data collection,Year_dammed,Reservoir_age_yr,Surface_area(km2),mean_depth(m),vol(km3),residence_time(yr),cal_discharge_km3/yr,reported_discharge,Purpose,TP_Conc_in_(uM),TP_Conc_out_(uM),TPin(mol/yr),TPout(mol/yr),TN_in_(uM),TN_out_(uM),TNin(mol/yr),TNout(mol/yr),TP_Retention,TN_Retention,Catchment dominant lithology (Hartmann and Moosdorf 2012),Outflow_type,2nd_P_species,2nd_p_conc_in_ (uM),2nd_P_conc_out(uM),2nd_P_influx(mol/yr),2nd_P_efflux(mol/yr),2nd_P_retention,Additional notes,References,Oliver Notes
Slapy,49.80,14.7,,Czech Republic,2004,1954,50,11.86,20.3,0.241,0.100,2.3997,,flow,2.35,1.84,5.64E+06,4.42E+06,,,,,0.21,,Acid_plutonic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Trnavka,49.53,15.21666667,,Czech Republic,1997-2000,1981,17,0.77,6.3,0.005,0.090,0.0533,,unknown,2.86,1.58,1.53E+05,8.41E+04,,,,,0.45,,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Zelivka_1,49.67,15.09166667,,Czech Republic,1994,1975,19,10.57,16.3,0.172,1.045,0.1650,,pump,2.80,0.59,4.62E+05,9.78E+04,,,,,0.80,,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Zelivka_2,49.67,15.09166667,,Czech Republic,1995-2000,1975,22,13.74,18.2,0.250,1.233,0.2029,,pump,2.80,0.49,5.68E+05,1.00E+05,,,,,0.86,,Metamorphic,Mixed,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Eau_Galle,44.70,-92.23,Wisconsin (USA),United States,,,18,0.60,3.2,0.002,0.655,0.0029,,flow,113.81,62.71,3.33E+05,1.84E+05,,,,,0.45,,Siliclastic_sed,,,,,,,,,James and Barko 1997,No N data
Falcon,26.60,-99.23,Texas (USA)/Mexico,United States,,,44,338.50,11.5,3.900,0.800,1.7400,,pump,3.23E+00,1.61E-01,5.89E+06,2.36E+05,5.43E+01,1.36E+01,9.39E+07,2.22E+07,0.96,0.76,,,SRP,,,1.61E+04,6.46E+02,0.96,,Kelly 2001,"N is Nitrate, P is SRP"
Lake_Mead,36.40,-114.39,USA,United States,,,62,640.00,40,25.600,3.700,17.6300,,pump,9.69E-02,9.69E-02,1.77E+06,1.18E+06,1.79E+01,2.29E+01,3.13E+08,3.13E+08,0.33,0.00,Acid_plutonic,,SRP,,,4.84E+03,3.23E+03,0.33,,Kelly 2001,"N is Nitrate, P is SRP"
Lake_Powell,36.90,-111.48,USA,United States,,,29,658.00,40,26.300,3.300,16.3100,,pump,3.23E-01,6.46E-02,4.71E+06,1.06E+06,1.71E+01,1.79E+01,2.87E+08,2.87E+08,0.78,0.00,Siliclastic_sed,,SRP,,,1.29E+04,2.91E+03,0.77,,Kelly 2001,"N is Nitrate, P is SRP"
Amistad Reservoir,,,USA,United States,,,,,,,1.600,0.8760,,,1.29E-01,3.23E-02,1.18E+05,4.71E+04,5.43E+01,2.21E+01,49535714,31285714,0.60,0.37,,,,,,,,,,Kelly 2001,"N is Nitrate, P is SRP"
Williams_Fork_2,41.00,-106.0,Colorado,United States,1979-1982,1959,21.5,4.13,18.2,0.075,0.766,0.0982,,pump,0.89,0.74,8.76E+04,7.27E+04,,,,,0.17,,Siliclastic_sed,,,,,,,,Hejzlar database,LaBaugh 1985,No N data
Gross,39.95,-105.36,Colorado,United States,,,25,1.68,30.7,0.052,0.290,0.1780,,flow,0.42,0.49,7.46E+04,8.71E+04,,,,,-0.17,,Metamorphic or Siliclastic_sed,,,,,,,,as above,LaBaugh and Winter 1984,No N data
Williams_Fork_1,40.00,-106.0,Colorado,United States,,,20,6.55,18.2,0.119,0.820,0.1450,,flow,0.94,0.84,1.37E+05,1.21E+05,,,,,0.11,,Siliclastic_sed,,,,,,,,"back-calculated effluxes for each year, averaged them, then calculated average retentions from this",LaBaugh and Winter 1984,No N data
HoaBinhReservoir,20.48,105.32,,Vietnam,,,9,208.00,45.67,9.500,0.088,108.0000,,flow,4.42,1.70,4.78E+08,1.84E+08,,,2564285714,2564285714,0.61,0.00,Carbonate,,,,,,,,,Le Thi Phuong et al 2010,N is organic + inorganic
ThacBa_reservoir,21.42,105.03,,Vietnam,,,31,235.00,58,13.630,2.183,6.2441,,flow,59.98,55.32,3.75E+08,3.45E+08,,,2242857143,2228571429,0.08,0.00,,,,,,,,,,Le Thi Phuong et al 2010,N is organic + inorganic
Broa,-22.20,-47.87,,Brazil,,,64,3.00,3,0.009,0.082,0.1100,,flow,0.96,0.81,1.05E+05,8.93E+04,,,,,0.15,,Siliclastic_sed,,,,,,,,,Miranda & Matvienko 2003,No N data
Anarbe,43.22,-1.87,,Spain,79-80,1976,3.5,1.32,25.7,0.034,0.410,0.0825,,pump,0.43,0.29,3.55E+04,2.40E+04,,,,,0.32,,,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Artikutza,43.20,-1.78,,Spain,79-80,1962,17.5,0.11,10.9,0.001,0.070,0.0164,,pump,0.39,0.42,6.46E+03,6.88E+03,,,,,-0.07,,Mixed_seds,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Azut n,39.77,-5.08,,Spain,80-81,1969,11.5,6.52,9.0,0.059,0.040,1.4727,,pump,68.34,57.02,1.01E+08,8.40E+07,,,,,0.17,,Siliclastic_sed or Acid_plutonic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Castrej¢n,39.85,-4.28,,Spain,80-81,1967,13.5,4.85,5.5,0.027,0.020,1.3251,,pump,81.01,67.06,1.07E+08,8.89E+07,,,,,0.17,,Metamorphic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
El_Atazar,40.90,-3.52,,Spain,78-81,1972,7.5,9.32,39.0,0.364,1.846,0.1969,,pump,0.75,0.69,1.48E+05,1.36E+05,,,,,0.16,,Mixed_seds or Acid_plutonic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
El_Burguillo,40.42,-4.57,,Spain,1978-81,1913,66.5,5.08,23.4,0.119,0.362,0.3281,,pump,2.62,1.95,8.58E+05,6.39E+05,,,,,0.25,,"Unconsol_seds,Siliclastic_sed,Acid_plutonic",,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Guajaraz,39.78,-4.08,,Spain,1978-81,1971,8.5,1.28,10.1,0.013,1.023,0.0127,,pump,4.70,1.89,5.98E+04,2.41E+04,,,,,0.48,,Metamorphic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Ribarroja,41.32,0.35,,Spain,1978-81,1969,10.5,10.52,11.8,0.124,0.010,12.4173,,pump,4.38,3.13,5.44E+07,3.89E+07,,,,,0.29,,Carbonate,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Riosequillo,40.97,-3.65,,Spain,1978-81,1956,23.5,1.61,15.8,0.025,0.125,0.2040,,pump,2.16,1.76,4.41E+05,3.60E+05,,,,,0.07,,Mixed_seds or Acid_plutonic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
San_Pons,41.97,1.6,,Spain,1979-81,1957,22.5,0.96,18.8,0.018,0.309,0.0582,,pump,2.43,2.20,1.41E+05,1.28E+05,,,,,0.11,,,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Sau,41.97,2.03,,Spain,1979-81,1963,16.5,3.95,29.4,0.116,0.295,0.3934,,pump,19.56,11.32,7.69E+06,4.45E+06,,,,,0.44,,Siliclastic_sed or Carbonate,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
Valmayor,40.53,-4.05,,Spain,1978-81,1975,4.5,5.33,10.7,0.057,6.452,0.0088,,pump,56.45,9.16,4.99E+05,8.09E+04,,,,,0.76,,Unconsol_seds or Acid_plutonic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984,"Can't find pub, is titled: ""Applicability of the OECD eutrophication models to Spanish reservoirs."""
DeGijster,51.72,4.8,,Netherlands,1981,,,3.05,13.1,0.040,0.211,0.1892,,pump,10.65,7.75,2.02E+06,1.47E+06,,,,,0.27,,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Oskam 1995,can't find pub
Honderd_(Biesbosch),51.72,4.77,,Netherlands,1981,1973,8,2.10,15.7,0.033,0.174,0.1892,,pump,7.75,7.75,1.47E+06,1.47E+06,,,,,0.00,,,Bottom,,,,,,,Hejzlar database,Oskam 1995,can't find pub
Petrusplaat,51.75,4.76,,Netherlands,1981,1973,8,1.00,13.0,0.013,0.069,0.1892,,pump,7.75,4.84,1.47E+06,9.16E+05,,,,,0.38,,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Oskam 1995,can't find pub
Fen‚ki-Pond,47.05,16.8,,Hungary,1985-1990,1984,3.5,51.00,1.2,0.061,0.252,0.2425,,flow,7.48,7.82,1.81E+06,1.90E+06,,,,,-0.05,,Unconsol_seds,,,,,,,,Hejzlar database,Pomogyi 1993,not sure where P data for this part came so didn't add N
Hidv‚gi-Pond,47.00,16.8,,Hungary,1985-1990,1985,2.5,18.00,1.1,0.021,0.109,0.1878,,flow,17.58,7.48,3.30E+06,1.41E+06,,,,,0.57,0.19,Unconsol_seds,,,,,,,,Hejzlar database,Pomogyi 1993,TN
Valle_de_Bravo,19.36,-100.18,,Mexico,2002-2005,1947,56.5,18.55,21.1,0.347,1.375,0.2524,,pump,15.44,3.35,3.90E+06,8.45E+05,,,42271430,22835710,0.78,0.46,"Unconsol_seds,Siliclastic_sed,Acid_volcanic",,,,,,,,"highly urbanized, weird downstream to upstream pumping","Ramirez-Zierold et al., 2010",TN
Burvattnet,64.00,13.33,,Sweden,,,59,13.20,43,0.550,3.900,0.1410,,unknown,0.13,0.13,1.87E+04,1.82E+04,,,,,0.02,,"Acid_volcanic,Acid_plutonic",,,,,,,,Uses discharge calcuated from retention time and volume,"Rydin et al., 2008",no N data
Mjolkvattnet,63.90,13.32,,Sweden,,,59,13.60,31,0.410,1.200,0.3420,,unknown,0.13,0.13,4.90E+04,4.34E+04,,,2.87E+06,1.30E+06,0.11,0.55,"Acid_volcanic,Acid_plutonic",,,,,,,,inflow includes atmospheirc deposition. Data for 2001 only,"Rydin et al., 2008",
Bavigne(Lac_de_la_Haute_Sure),49.90,5.87,,Luxemberg,1989-90,,,0.24,7.1,0.002,0.122,0.0137,,flow,5.71,1.15,7.81E+04,1.57E+04,,,,,0.80,,Mixed_seds,Surface,,,,,,,Hejzlar database,Salvia-Castelvi et al. 2001,no N data
Misere,49.88,5.83,,Luxemberg,1989-90,,,0.20,2.5,0.001,0.004,0.1319,,flow,7.49,2.96,9.88E+05,3.91E+05,,,,,0.60,,Mixed_seds,Surface,,,,,,,Hejzlar database,Salvia-Castelvi et al. 2001,no N data
Predam_Bavigne,49.75,5.85,,Luxemberg,,,33,0.24,7.1,0.002,0.121,0.0139,,unknown,5.81,1.07,8.06E+04,1.48E+04,,,,,0.82,,Mixed_seds,,SRP,0.697,0.325,9.68E+03,4.52E+03,0.53,"outflow = surface open spillweir, water from epilimnion; type of phytoplankton given","Salvi-Castellvi et al., 2001",no N data
Predam_Misere,49.88,5.83,,Luxemberg,,,33,0.20,2.5,0.001,0.004,0.1325,,unknown,7.06,2.92,9.35E+05,3.87E+05,,,,,0.59,,Mixed_seds,,SRP,1.023,0.974,1.35E+05,1.29E+05,0.05,"outflow = surface open spillweir, water from epilimnion; type of phytoplankton given.","Salvi-Castellvi et al., 2001",no N data
Wahnbach_Talsperre_1,51.00,9.0,,Germany,1976-77,1958,18.5,1.30,16.0,0.021,1.020,0.0204,,pump,3.85,0.48,7.86E+04,9.79E+03,,,,,0.88,,"Unconsol_seds,Siliclastic_sed,Mixed_seds",,,,,,,,Hejzlar database,Sas H.1989,no N data
Wahnbach_Talsperre_2,51.00,9.0,,Germany,1978-85,1958,23.5,1.30,16.0,0.021,0.815,0.0255,,pump,0.92,0.36,2.36E+04,9.09E+03,,,,,0.61,,"Unconsol_seds,Siliclastic_sed,Mixed_seds",,,,,,,,Hejzlar database,Sas H.1989,no N data
Calhan,38.63,-104.65,Colorado,United States,1973-75,,,0.08,2.0,0.000,0.298,0.0005,,flow,4.21,3.10,2.31E+03,1.70E+03,,,,,0.26,,,,,,,,,,Hejzlar database,Schreiber&Rausch 1979,could not find pub - abstract suggests no N data
Iron_Gate,44.40,22.5,,Romania,,,29,156.40,17.26,2.699,0.030,89.9821,,flow,5.35,5.92,4.81E+08,5.33E+08,,,,,-0.11,,Intermed_plutonic or Siliclastic_sed,,TDP,0.063,0.107,5.70E+06,9.60E+06,-0.68,,Teodoru and Wehrli 2005,in Harrison
John_Mack_Lake,-18.30,29.88,,Zimbabwe,,,5,4.85,4.3,0.021,0.200,0.1043,,pump,,NA,NA,NA,,,,,,,Metamorphic,,TRP = SRP + PRP,,,4.29E+05,3.58E+05,0.17,,Thornton 1980,no N data
Lake_McIlwaine,-17.90,30.8,,Zimbabwe,,,26,26.30,9.4,0.247,0.900,0.2747,,pump,,NA,NA,NA,,,,,NA,,Metamorphic,,TRP = SRP + PRP,,,2.41E+06,1.08E+06,0.55,,Thornton 1980,no N data
Lake_Robertson,-17.80,30.57,,Zimbabwe,,,2,81.00,6,0.486,1.100,0.4418,,pump,,NA,NA,NA,,,,,NA,,Metamorphic,,TRP = SRP + PRP,,,1.61E+06,4.26E+05,0.74,,Thornton 1980,no N data
Hartbeespoort_Dam,-25.72,27.85,,South Africa,1981-85,1969,14,12.65,9.0,0.113,0.919,0.1235,,pump,65.27,20.04,8.06E+06,2.47E+06,,,,,0.69,,"Siliclastic_sed,Carbonate",,,,,,,,Hejzlar database,Thornton&Ashton1989,no N data
Taiquin,30.40,-84.63333333,Florida,United States,1972-74,1927,46,39.25,4.1,0.161,0.123,1.3059,,pump,6.26,3.11,8.18E+06,4.07E+06,,,1.50E+08,1.35E+08,0.45,0.10,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Turner et al 1983,TN
Acton_Lake,39.57,-84.74,Ohio,United States,,,55,2.40,3.9,0.009,0.120,0.0780,,flow,7.90,5.43,6.15E+05,4.23E+05,,,6.50E+07,4.83E+07,0.31,0.26,Carbonate,,,,,,,,,"Vani et al., 2011",TN
Skipout,35.60,-99.9,Oklahoma,United States,,,33,0.19,3.7,0.001,2.800,0.0003,,flow,7.23,0.52,1.81E+03,1.29E+02,,,3.83E+04,5.21E+03,0.93,0.86,Unconsol_seds,,,,,,,,Hard water - discussed in report,Wagner 1996,TN
